識別番号,漢字,種類,異体字(表に含む),漢検級
1207,租,1. 常用漢字の通用字体,,準2級
1208,素,1. 常用漢字の通用字体,,6級
1209,措,1. 常用漢字の通用字体,,3級
1210,粗,1. 常用漢字の通用字体,,3級
1211,組,1. 常用漢字の通用字体,,9級
1212,疎,1. 常用漢字の通用字体,,準2級
1213,訴,1. 常用漢字の通用字体,,4級
1214,塑,1. 常用漢字の通用字体,,準2級
1215,遡,1. 常用漢字の通用字体,,2級
1216,礎,1. 常用漢字の通用字体,,3級
1217,双,1. 常用漢字の通用字体,,3級
1218,壮,1. 常用漢字の通用字体,壯,準2級
1219,早,1. 常用漢字の通用字体,,10級
1220,争,1. 常用漢字の通用字体,爭,7級
1221,走,1. 常用漢字の通用字体,,9級
1222,奏,1. 常用漢字の通用字体,,5級
1223,相,1. 常用漢字の通用字体,,8級
1224,荘,1. 常用漢字の通用字体,莊,準2級
1225,草,1. 常用漢字の通用字体,,10級
1226,送,1. 常用漢字の通用字体,,8級
1227,倉,1. 常用漢字の通用字体,,7級
1228,捜,1. 常用漢字の通用字体,搜,準2級
1229,挿,1. 常用漢字の通用字体,,準2級
1230,桑,1. 常用漢字の通用字体,,3級
1231,巣,1. 常用漢字の通用字体,巢,7級
1232,掃,1. 常用漢字の通用字体,,3級
1233,曹,1. 常用漢字の通用字体,,準2級
1234,曽,1. 常用漢字の通用字体,曾,2級
1235,爽,1. 常用漢字の通用字体,,2級
1236,窓,1. 常用漢字の通用字体,,5級
1237,創,1. 常用漢字の通用字体,,5級
1238,喪,1. 常用漢字の通用字体,,準2級
1239,痩,1. 常用漢字の通用字体,瘦,2級
1240,葬,1. 常用漢字の通用字体,,3級
1241,装,1. 常用漢字の通用字体,裝,5級
1242,僧,1. 常用漢字の通用字体,僧,4級
1243,想,1. 常用漢字の通用字体,,8級
1244,層,1. 常用漢字の通用字体,層,5級
1245,総,1. 常用漢字の通用字体,,6級
1246,遭,1. 常用漢字の通用字体,,3級
1247,槽,1. 常用漢字の通用字体,,準2級
1248,踪,1. 常用漢字の通用字体,,2級
1249,操,1. 常用漢字の通用字体,,5級
1250,燥,1. 常用漢字の通用字体,,4級
1251,霜,1. 常用漢字の通用字体,,準2級
1252,騒,1. 常用漢字の通用字体,騷,4級
1253,藻,1. 常用漢字の通用字体,,準2級
1254,造,1. 常用漢字の通用字体,,6級
1255,像,1. 常用漢字の通用字体,,6級
1256,増,1. 常用漢字の通用字体,增,6級
1257,憎,1. 常用漢字の通用字体,憎,3級
1258,蔵,1. 常用漢字の通用字体,藏,5級
1259,贈,1. 常用漢字の通用字体,贈,4級
1260,臓,1. 常用漢字の通用字体,臟,5級
1261,即,1. 常用漢字の通用字体,卽,4級
1262,束,1. 常用漢字の通用字体,,7級
1263,足,1. 常用漢字の通用字体,,10級
1264,促,1. 常用漢字の通用字体,,3級
1265,則,1. 常用漢字の通用字体,,6級
1266,息,1. 常用漢字の通用字体,,8級
1267,捉,1. 常用漢字の通用字体,,2級
1268,速,1. 常用漢字の通用字体,,8級
1269,側,1. 常用漢字の通用字体,,7級
1270,測,1. 常用漢字の通用字体,,6級
1271,俗,1. 常用漢字の通用字体,,4級
1272,族,1. 常用漢字の通用字体,,8級
1273,属,1. 常用漢字の通用字体,,6級
1274,賊,1. 常用漢字の通用字体,,3級
1275,続,1. 常用漢字の通用字体,,7級
1276,卒,1. 常用漢字の通用字体,,7級
1277,率,1. 常用漢字の通用字体,,6級
1278,存,1. 常用漢字の通用字体,,5級
1279,村,1. 常用漢字の通用字体,,10級
1280,孫,1. 常用漢字の通用字体,,7級
1281,尊,1. 常用漢字の通用字体,,5級
1282,損,1. 常用漢字の通用字体,,6級
1283,遜,1. 常用漢字の通用字体,,2級
1284,他,1. 常用漢字の通用字体,,8級
1285,多,1. 常用漢字の通用字体,,9級
1286,汰,1. 常用漢字の通用字体,,2級
1287,打,1. 常用漢字の通用字体,,8級
1288,妥,1. 常用漢字の通用字体,,準2級
1289,唾,1. 常用漢字の通用字体,,2級
1290,堕,1. 常用漢字の通用字体,,準2級
1291,惰,1. 常用漢字の通用字体,,準2級
1292,駄,1. 常用漢字の通用字体,,準2級
1293,太,1. 常用漢字の通用字体,,9級
1294,対,1. 常用漢字の通用字体,,8級
1295,体,1. 常用漢字の通用字体,,9級
1296,耐,1. 常用漢字の通用字体,,4級
1297,待,1. 常用漢字の通用字体,,8級
1298,怠,1. 常用漢字の通用字体,,3級
1299,胎,1. 常用漢字の通用字体,,3級
1300,退,1. 常用漢字の通用字体,,5級
1301,帯,1. 常用漢字の通用字体,帶,7級
1302,泰,1. 常用漢字の通用字体,,準2級
1303,堆,1. 常用漢字の通用字体,,2級
1304,袋,1. 常用漢字の通用字体,,3級
1305,逮,1. 常用漢字の通用字体,,3級
1306,替,1. 常用漢字の通用字体,,4級
1307,貸,1. 常用漢字の通用字体,,6級
1308,隊,1. 常用漢字の通用字体,,7級
1309,滞,1. 常用漢字の通用字体,滯,3級
1310,態,1. 常用漢字の通用字体,,6級
1311,戴,1. 常用漢字の通用字体,,2級
1312,大,1. 常用漢字の通用字体,,10級
1313,代,1. 常用漢字の通用字体,,8級
1314,台,1. 常用漢字の通用字体,,9級
1315,第,1. 常用漢字の通用字体,,8級
1316,題,1. 常用漢字の通用字体,,8級
1317,滝,1. 常用漢字の通用字体,瀧,3級
1318,宅,1. 常用漢字の通用字体,,5級
1319,択,1. 常用漢字の通用字体,,3級
1320,沢,1. 常用漢字の通用字体,,4級
1321,卓,1. 常用漢字の通用字体,,3級
1322,拓,1. 常用漢字の通用字体,,4級
1323,託,1. 常用漢字の通用字体,,3級
1324,濯,1. 常用漢字の通用字体,,準2級
1325,諾,1. 常用漢字の通用字体,,3級
1326,濁,1. 常用漢字の通用字体,,4級
1327,但,1. 常用漢字の通用字体,,準2級
1328,達,1. 常用漢字の通用字体,,7級
1329,脱,1. 常用漢字の通用字体,,4級
1330,奪,1. 常用漢字の通用字体,,3級
1331,棚,1. 常用漢字の通用字体,,準2級
1332,誰,1. 常用漢字の通用字体,,2級
1333,丹,1. 常用漢字の通用字体,,4級
1334,旦,1. 常用漢字の通用字体,,2級
1335,担,1. 常用漢字の通用字体,,5級
1336,単,1. 常用漢字の通用字体,單,7級
1337,炭,1. 常用漢字の通用字体,,8級
1338,胆,1. 常用漢字の通用字体,,3級
1339,探,1. 常用漢字の通用字体,,5級
1340,淡,1. 常用漢字の通用字体,,4級
1341,短,1. 常用漢字の通用字体,,8級
1342,嘆,1. 常用漢字の通用字体,嘆,4級
1343,端,1. 常用漢字の通用字体,,4級
1344,綻,1. 常用漢字の通用字体,,2級
1345,誕,1. 常用漢字の通用字体,,5級
1346,鍛,1. 常用漢字の通用字体,,3級
1347,団,1. 常用漢字の通用字体,團,6級
1348,男,1. 常用漢字の通用字体,,10級
1349,段,1. 常用漢字の通用字体,,5級
1350,断,1. 常用漢字の通用字体,,6級
1351,弾,1. 常用漢字の通用字体,彈,4級
1352,暖,1. 常用漢字の通用字体,,5級
1353,談,1. 常用漢字の通用字体,,8級
1354,壇,1. 常用漢字の通用字体,,3級
1355,地,1. 常用漢字の通用字体,,9級
1356,池,1. 常用漢字の通用字体,,9級
1357,知,1. 常用漢字の通用字体,,9級
1358,値,1. 常用漢字の通用字体,,5級
1359,恥,1. 常用漢字の通用字体,,4級
1360,致,1. 常用漢字の通用字体,,4級
1361,遅,1. 常用漢字の通用字体,,4級
1362,痴,1. 常用漢字の通用字体,,準2級
1363,稚,1. 常用漢字の通用字体,,3級
1364,置,1. 常用漢字の通用字体,,7級
1365,緻,1. 常用漢字の通用字体,,2級
1366,竹,1. 常用漢字の通用字体,,10級
1367,畜,1. 常用漢字の通用字体,,3級
1368,逐,1. 常用漢字の通用字体,,準2級
1369,蓄,1. 常用漢字の通用字体,,4級
1370,築,1. 常用漢字の通用字体,,6級
1371,秩,1. 常用漢字の通用字体,,準2級
1372,窒,1. 常用漢字の通用字体,,3級
1373,茶,1. 常用漢字の通用字体,,9級
1374,着,1. 常用漢字の通用字体,,8級
1375,嫡,1. 常用漢字の通用字体,,準2級
1376,中,1. 常用漢字の通用字体,,10級
1377,仲,1. 常用漢字の通用字体,,7級
1378,虫,1. 常用漢字の通用字体,,10級
1379,沖,1. 常用漢字の通用字体,,7級
1380,宙,1. 常用漢字の通用字体,,5級
1381,忠,1. 常用漢字の通用字体,,5級
1382,抽,1. 常用漢字の通用字体,,3級
1383,注,1. 常用漢字の通用字体,,8級
1384,昼,1. 常用漢字の通用字体,晝,9級
1385,柱,1. 常用漢字の通用字体,,8級
1386,衷,1. 常用漢字の通用字体,,準2級
1387,酎,1. 常用漢字の通用字体,,2級
1388,鋳,1. 常用漢字の通用字体,鑄,3級
1389,駐,1. 常用漢字の通用字体,,3級
1390,著,1. 常用漢字の通用字体,著,5級
1391,貯,1. 常用漢字の通用字体,,6級
1392,丁,1. 常用漢字の通用字体,,8級
1393,弔,1. 常用漢字の通用字体,,準2級
1394,庁,1. 常用漢字の通用字体,廳,5級
1395,兆,1. 常用漢字の通用字体,,7級
1396,町,1. 常用漢字の通用字体,,10級
1397,長,1. 常用漢字の通用字体,,9級
1398,挑,1. 常用漢字の通用字体,,準2級
1399,帳,1. 常用漢字の通用字体,,8級
1400,張,1. 常用漢字の通用字体,,6級
1401,彫,1. 常用漢字の通用字体,,3級
1402,眺,1. 常用漢字の通用字体,,準2級
1403,釣,1. 常用漢字の通用字体,,準2級
1404,頂,1. 常用漢字の通用字体,,5級
1405,鳥,1. 常用漢字の通用字体,,9級
1406,朝,1. 常用漢字の通用字体,,9級
1407,貼,1. 常用漢字の通用字体,,2級
1408,超,1. 常用漢字の通用字体,,3級
1409,腸,1. 常用漢字の通用字体,,5級
1410,跳,1. 常用漢字の通用字体,,4級
1411,徴,1. 常用漢字の通用字体,徵,4級
1412,嘲,1. 常用漢字の通用字体,,2級
1413,潮,1. 常用漢字の通用字体,,5級
1414,澄,1. 常用漢字の通用字体,,4級
1415,調,1. 常用漢字の通用字体,,8級
1416,聴,1. 常用漢字の通用字体,聽,3級
1417,懲,1. 常用漢字の通用字体,懲,準2級
1418,直,1. 常用漢字の通用字体,,9級
1419,勅,1. 常用漢字の通用字体,,準2級
1420,捗,1. 常用漢字の通用字体,,2級
1421,沈,1. 常用漢字の通用字体,,4級
1422,珍,1. 常用漢字の通用字体,,4級
1423,朕,1. 常用漢字の通用字体,,準2級
1424,陳,1. 常用漢字の通用字体,,3級
1425,賃,1. 常用漢字の通用字体,,5級
1426,鎮,1. 常用漢字の通用字体,鎭,3級
1427,追,1. 常用漢字の通用字体,,8級
1428,椎,1. 常用漢字の通用字体,,2級
1429,墜,1. 常用漢字の通用字体,,3級
1430,通,1. 常用漢字の通用字体,,9級
1431,痛,1. 常用漢字の通用字体,,5級
1432,塚,1. 常用漢字の通用字体,,準2級
1433,漬,1. 常用漢字の通用字体,,準2級
1434,坪,1. 常用漢字の通用字体,,準2級
1435,爪,1. 常用漢字の通用字体,,2級
1436,鶴,1. 常用漢字の通用字体,,2級
1437,低,1. 常用漢字の通用字体,,7級
1438,呈,1. 常用漢字の通用字体,,準2級
1439,廷,1. 常用漢字の通用字体,,準2級
1440,弟,1. 常用漢字の通用字体,,9級
1441,定,1. 常用漢字の通用字体,,8級
1442,底,1. 常用漢字の通用字体,,7級
1443,抵,1. 常用漢字の通用字体,,4級
1444,邸,1. 常用漢字の通用字体,,準2級
1445,亭,1. 常用漢字の通用字体,,準2級
1446,貞,1. 常用漢字の通用字体,,準2級
1447,帝,1. 常用漢字の通用字体,,3級
1448,訂,1. 常用漢字の通用字体,,3級
1449,庭,1. 常用漢字の通用字体,,8級
1450,逓,1. 常用漢字の通用字体,,準2級
1451,停,1. 常用漢字の通用字体,,6級
1452,偵,1. 常用漢字の通用字体,,準2級
1453,堤,1. 常用漢字の通用字体,,4級
1454,提,1. 常用漢字の通用字体,,6級
1455,程,1. 常用漢字の通用字体,,6級
1456,艇,1. 常用漢字の通用字体,,準2級
1457,締,1. 常用漢字の通用字体,,3級
1458,諦,1. 常用漢字の通用字体,,2級
1459,泥,1. 常用漢字の通用字体,,準2級
1460,的,1. 常用漢字の通用字体,,7級
1461,笛,1. 常用漢字の通用字体,,8級
1462,摘,1. 常用漢字の通用字体,,4級
1463,滴,1. 常用漢字の通用字体,,4級
1464,適,1. 常用漢字の通用字体,,6級
1465,敵,1. 常用漢字の通用字体,,5級
1466,溺,1. 常用漢字の通用字体,,2級
1467,迭,1. 常用漢字の通用字体,,準2級
1468,哲,1. 常用漢字の通用字体,,3級
1469,鉄,1. 常用漢字の通用字体,,8級
1470,徹,1. 常用漢字の通用字体,,準2級
1471,撤,1. 常用漢字の通用字体,,準2級
1472,天,1. 常用漢字の通用字体,,10級
1473,典,1. 常用漢字の通用字体,,7級
1474,店,1. 常用漢字の通用字体,,9級
1475,点,1. 常用漢字の通用字体,,9級
1476,展,1. 常用漢字の通用字体,,5級
1477,添,1. 常用漢字の通用字体,,4級
1478,転,1. 常用漢字の通用字体,轉,8級
1479,塡,1. 常用漢字の通用字体,,2級
1480,田,1. 常用漢字の通用字体,,10級
1481,伝,1. 常用漢字の通用字体,傳,7級
1482,殿,1. 常用漢字の通用字体,,4級
1483,電,1. 常用漢字の通用字体,,9級
1484,斗,1. 常用漢字の通用字体,,3級
1485,吐,1. 常用漢字の通用字体,,4級
1486,妬,1. 常用漢字の通用字体,,2級
1487,徒,1. 常用漢字の通用字体,,7級
1488,途,1. 常用漢字の通用字体,,4級
1489,都,1. 常用漢字の通用字体,都,8級
1490,渡,1. 常用漢字の通用字体,,4級
1491,塗,1. 常用漢字の通用字体,,3級
1492,賭,1. 常用漢字の通用字体,,2級
1493,土,1. 常用漢字の通用字体,,10級
1494,奴,1. 常用漢字の通用字体,,4級
1495,努,1. 常用漢字の通用字体,,7級
1496,度,1. 常用漢字の通用字体,,8級
1497,怒,1. 常用漢字の通用字体,,4級
1498,刀,1. 常用漢字の通用字体,,9級
1499,冬,1. 常用漢字の通用字体,,9級
1500,灯,1. 常用漢字の通用字体,燈,7級
1501,当,1. 常用漢字の通用字体,,9級
1502,投,1. 常用漢字の通用字体,,8級
1503,豆,1. 常用漢字の通用字体,,8級
1504,東,1. 常用漢字の通用字体,,9級
1505,到,1. 常用漢字の通用字体,,4級
1506,逃,1. 常用漢字の通用字体,,4級
1507,倒,1. 常用漢字の通用字体,,4級
1508,凍,1. 常用漢字の通用字体,,3級
1509,唐,1. 常用漢字の通用字体,,4級
1510,島,1. 常用漢字の通用字体,嶋,8級
1511,桃,1. 常用漢字の通用字体,,4級
1512,討,1. 常用漢字の通用字体,,5級
1513,透,1. 常用漢字の通用字体,,4級
1514,党,1. 常用漢字の通用字体,,5級
1515,悼,1. 常用漢字の通用字体,,準2級
1516,盗,1. 常用漢字の通用字体,盜,4級
1517,陶,1. 常用漢字の通用字体,,3級
1518,塔,1. 常用漢字の通用字体,,4級
1519,搭,1. 常用漢字の通用字体,,準2級
1520,棟,1. 常用漢字の通用字体,,準2級
1521,湯,1. 常用漢字の通用字体,,8級
1522,痘,1. 常用漢字の通用字体,,3級
1523,登,1. 常用漢字の通用字体,,8級
1524,答,1. 常用漢字の通用字体,,9級
1525,等,1. 常用漢字の通用字体,,8級
1526,筒,1. 常用漢字の通用字体,,準2級
1527,統,1. 常用漢字の通用字体,,6級
1528,稲,1. 常用漢字の通用字体,稻,4級
1529,踏,1. 常用漢字の通用字体,,4級
1530,糖,1. 常用漢字の通用字体,,5級
1531,頭,1. 常用漢字の通用字体,,9級
1532,謄,1. 常用漢字の通用字体,,準2級
1533,藤,1. 常用漢字の通用字体,,2級
1534,闘,1. 常用漢字の通用字体,,4級
1535,騰,1. 常用漢字の通用字体,,準2級
1536,同,1. 常用漢字の通用字体,,9級
1537,洞,1. 常用漢字の通用字体,,準2級
1538,胴,1. 常用漢字の通用字体,,4級
1539,動,1. 常用漢字の通用字体,,8級
1540,堂,1. 常用漢字の通用字体,,6級
1541,童,1. 常用漢字の通用字体,,8級
1542,道,1. 常用漢字の通用字体,,9級
1543,働,1. 常用漢字の通用字体,,7級
1544,銅,1. 常用漢字の通用字体,,6級
1545,導,1. 常用漢字の通用字体,,6級
1546,瞳,1. 常用漢字の通用字体,,2級
1547,峠,1. 常用漢字の通用字体,,4級
1548,匿,1. 常用漢字の通用字体,,3級
1549,特,1. 常用漢字の通用字体,,7級
1550,得,1. 常用漢字の通用字体,,6級
1551,督,1. 常用漢字の通用字体,,準2級
1552,徳,1. 常用漢字の通用字体,德,7級
1553,篤,1. 常用漢字の通用字体,,3級
1554,毒,1. 常用漢字の通用字体,,6級
1555,独,1. 常用漢字の通用字体,,6級
1556,読,1. 常用漢字の通用字体,,9級
1557,栃,1. 常用漢字の通用字体,,7級
1558,凸,1. 常用漢字の通用字体,,準2級
1559,突,1. 常用漢字の通用字体,突,4級
1560,届,1. 常用漢字の通用字体,,5級
1561,屯,1. 常用漢字の通用字体,,準2級
1562,豚,1. 常用漢字の通用字体,,3級
1563,頓,1. 常用漢字の通用字体,,2級
1564,貪,1. 常用漢字の通用字体,,2級
1565,鈍,1. 常用漢字の通用字体,,4級
1566,曇,1. 常用漢字の通用字体,,4級
1567,丼,1. 常用漢字の通用字体,,2級
1568,那,1. 常用漢字の通用字体,,2級
1569,奈,1. 常用漢字の通用字体,,7級
1570,内,1. 常用漢字の通用字体,,9級
1571,梨,1. 常用漢字の通用字体,,7級
1572,謎,1. 常用漢字の通用字体,,2級
1573,鍋,1. 常用漢字の通用字体,,2級
1574,南,1. 常用漢字の通用字体,,9級
1575,軟,1. 常用漢字の通用字体,,準2級
1576,難,1. 常用漢字の通用字体,難,5級
1577,二,1. 常用漢字の通用字体,,10級
1578,尼,1. 常用漢字の通用字体,,準2級
1579,弐,1. 常用漢字の通用字体,,4級
1580,匂,1. 常用漢字の通用字体,,2級
1581,肉,1. 常用漢字の通用字体,,9級
1582,虹,1. 常用漢字の通用字体,,2級
1583,日,1. 常用漢字の通用字体,,10級
1584,入,1. 常用漢字の通用字体,,10級
1585,乳,1. 常用漢字の通用字体,,5級
1586,尿,1. 常用漢字の通用字体,,3級
1587,任,1. 常用漢字の通用字体,,6級
1588,妊,1. 常用漢字の通用字体,,準2級
1589,忍,1. 常用漢字の通用字体,,準2級
1590,認,1. 常用漢字の通用字体,,5級
1591,寧,1. 常用漢字の通用字体,,準2級
1592,熱,1. 常用漢字の通用字体,,7級
1593,年,1. 常用漢字の通用字体,,10級
1594,念,1. 常用漢字の通用字体,,7級
1595,捻,1. 常用漢字の通用字体,,2級
1596,粘,1. 常用漢字の通用字体,,3級
1597,燃,1. 常用漢字の通用字体,,6級
1598,悩,1. 常用漢字の通用字体,,4級
1599,納,1. 常用漢字の通用字体,,5級
1600,能,1. 常用漢字の通用字体,,6級
1601,脳,1. 常用漢字の通用字体,,5級
1602,農,1. 常用漢字の通用字体,,8級
1603,濃,1. 常用漢字の通用字体,,4級
1604,把,1. 常用漢字の通用字体,,準2級
1605,波,1. 常用漢字の通用字体,,8級
1606,派,1. 常用漢字の通用字体,,5級
1607,破,1. 常用漢字の通用字体,,6級
1608,覇,1. 常用漢字の通用字体,,準2級
1609,馬,1. 常用漢字の通用字体,,9級
1610,婆,1. 常用漢字の通用字体,,3級
1611,罵,1. 常用漢字の通用字体,,2級
1612,拝,1. 常用漢字の通用字体,拜,5級
1613,杯,1. 常用漢字の通用字体,盃,4級
1614,背,1. 常用漢字の通用字体,,5級
1615,肺,1. 常用漢字の通用字体,,5級
1616,俳,1. 常用漢字の通用字体,,5級
1617,配,1. 常用漢字の通用字体,,8級
1618,排,1. 常用漢字の通用字体,,3級
1619,敗,1. 常用漢字の通用字体,,7級
1620,廃,1. 常用漢字の通用字体,,準2級
1621,輩,1. 常用漢字の通用字体,,4級
1622,売,1. 常用漢字の通用字体,賣,9級
1623,倍,1. 常用漢字の通用字体,,8級
1624,梅,1. 常用漢字の通用字体,梅,7級
1625,培,1. 常用漢字の通用字体,,準2級
1626,陪,1. 常用漢字の通用字体,,3級
1627,媒,1. 常用漢字の通用字体,,準2級
1628,買,1. 常用漢字の通用字体,,9級
1629,賠,1. 常用漢字の通用字体,,準2級
1630,白,1. 常用漢字の通用字体,,10級
1631,伯,1. 常用漢字の通用字体,,準2級
1632,拍,1. 常用漢字の通用字体,,4級
1633,泊,1. 常用漢字の通用字体,,4級
1634,迫,1. 常用漢字の通用字体,,4級
1635,剝,1. 常用漢字の通用字体,,2級
1636,舶,1. 常用漢字の通用字体,,準2級
1637,博,1. 常用漢字の通用字体,,7級
1638,薄,1. 常用漢字の通用字体,,4級
1639,麦,1. 常用漢字の通用字体,,9級
1640,漠,1. 常用漢字の通用字体,,準2級
1641,縛,1. 常用漢字の通用字体,,3級
1642,爆,1. 常用漢字の通用字体,,4級
1643,箱,1. 常用漢字の通用字体,,8級
1644,箸,1. 常用漢字の通用字体,,2級
1645,畑,1. 常用漢字の通用字体,,8級
1646,肌,1. 常用漢字の通用字体,,準2級
1647,八,1. 常用漢字の通用字体,,10級
1648,鉢,1. 常用漢字の通用字体,,準2級
1649,発,1. 常用漢字の通用字体,,8級
1650,髪,1. 常用漢字の通用字体,髮,4級
1651,伐,1. 常用漢字の通用字体,,3級
1652,抜,1. 常用漢字の通用字体,拔,4級
1653,罰,1. 常用漢字の通用字体,,4級
1654,閥,1. 常用漢字の通用字体,,準2級
1655,反,1. 常用漢字の通用字体,,8級
1656,半,1. 常用漢字の通用字体,,9級
1657,氾,1. 常用漢字の通用字体,,2級
1658,犯,1. 常用漢字の通用字体,,6級
1659,帆,1. 常用漢字の通用字体,,3級
1660,汎,1. 常用漢字の通用字体,,2級
1661,伴,1. 常用漢字の通用字体,,3級
1662,判,1. 常用漢字の通用字体,,6級
1663,坂,1. 常用漢字の通用字体,,8級
1664,阪,1. 常用漢字の通用字体,,7級
1665,板,1. 常用漢字の通用字体,,8級
1666,版,1. 常用漢字の通用字体,,6級
1667,班,1. 常用漢字の通用字体,,5級
1668,畔,1. 常用漢字の通用字体,,3級
1669,般,1. 常用漢字の通用字体,,4級
1670,販,1. 常用漢字の通用字体,,4級
1671,斑,1. 常用漢字の通用字体,,2級
1672,飯,1. 常用漢字の通用字体,,7級
1673,搬,1. 常用漢字の通用字体,,4級
1674,煩,1. 常用漢字の通用字体,,準2級
1675,頒,1. 常用漢字の通用字体,,準2級
1676,範,1. 常用漢字の通用字体,,4級
1677,繁,1. 常用漢字の通用字体,繁,4級
1678,藩,1. 常用漢字の通用字体,,3級
1679,晩,1. 常用漢字の通用字体,晚,5級
1680,番,1. 常用漢字の通用字体,,9級
1681,蛮,1. 常用漢字の通用字体,,3級
1682,盤,1. 常用漢字の通用字体,,4級
1683,比,1. 常用漢字の通用字体,,6級
1684,皮,1. 常用漢字の通用字体,,8級
1685,妃,1. 常用漢字の通用字体,,準2級
1686,否,1. 常用漢字の通用字体,,5級
1687,批,1. 常用漢字の通用字体,,5級
1688,彼,1. 常用漢字の通用字体,,4級
1689,披,1. 常用漢字の通用字体,,準2級
1690,肥,1. 常用漢字の通用字体,,6級
1691,非,1. 常用漢字の通用字体,,6級
1692,卑,1. 常用漢字の通用字体,卑,3級
1693,飛,1. 常用漢字の通用字体,,7級
1694,疲,1. 常用漢字の通用字体,,4級
1695,秘,1. 常用漢字の通用字体,祕,5級
1696,被,1. 常用漢字の通用字体,,4級
1697,悲,1. 常用漢字の通用字体,,8級
1698,扉,1. 常用漢字の通用字体,,準2級
1699,費,1. 常用漢字の通用字体,,6級
1700,碑,1. 常用漢字の通用字体,碑,3級
1701,罷,1. 常用漢字の通用字体,,準2級
1702,避,1. 常用漢字の通用字体,,4級
1703,尾,1. 常用漢字の通用字体,,4級
1704,眉,1. 常用漢字の通用字体,,2級
1705,美,1. 常用漢字の通用字体,,8級
1706,備,1. 常用漢字の通用字体,,6級
1707,微,1. 常用漢字の通用字体,,4級
1708,鼻,1. 常用漢字の通用字体,,8級
1709,膝,1. 常用漢字の通用字体,,2級
1710,肘,1. 常用漢字の通用字体,,2級
1711,匹,1. 常用漢字の通用字体,,4級
1712,必,1. 常用漢字の通用字体,,7級
1713,泌,1. 常用漢字の通用字体,,3級
1714,筆,1. 常用漢字の通用字体,,8級
1715,姫,1. 常用漢字の通用字体,,3級
1716,百,1. 常用漢字の通用字体,,10級
1717,氷,1. 常用漢字の通用字体,,8級
1718,表,1. 常用漢字の通用字体,,8級
1719,俵,1. 常用漢字の通用字体,,5級
1720,票,1. 常用漢字の通用字体,,7級
1721,評,1. 常用漢字の通用字体,,6級
1722,漂,1. 常用漢字の通用字体,,3級
1723,標,1. 常用漢字の通用字体,,7級
1724,苗,1. 常用漢字の通用字体,,3級
1725,秒,1. 常用漢字の通用字体,,8級
1726,病,1. 常用漢字の通用字体,,8級
1727,描,1. 常用漢字の通用字体,,4級
1728,猫,1. 常用漢字の通用字体,,準2級
1729,品,1. 常用漢字の通用字体,,8級
1730,浜,1. 常用漢字の通用字体,,4級
1731,貧,1. 常用漢字の通用字体,,6級
1732,賓,1. 常用漢字の通用字体,賓,準2級
1733,頻,1. 常用漢字の通用字体,,準2級
1734,敏,1. 常用漢字の通用字体,敏,4級
1735,瓶,1. 常用漢字の通用字体,,準2級
1736,不,1. 常用漢字の通用字体,,7級
1737,夫,1. 常用漢字の通用字体,,7級
1738,父,1. 常用漢字の通用字体,,9級
1739,付,1. 常用漢字の通用字体,,7級
1740,布,1. 常用漢字の通用字体,,6級
1741,扶,1. 常用漢字の通用字体,,準2級
1742,府,1. 常用漢字の通用字体,,7級
1743,怖,1. 常用漢字の通用字体,,4級
1744,阜,1. 常用漢字の通用字体,,7級
1745,附,1. 常用漢字の通用字体,,準2級
1746,訃,1. 常用漢字の通用字体,,2級
1747,負,1. 常用漢字の通用字体,,8級
1748,赴,1. 常用漢字の通用字体,,3級
1749,浮,1. 常用漢字の通用字体,,4級
1750,婦,1. 常用漢字の通用字体,,6級
1751,符,1. 常用漢字の通用字体,,3級
1752,富,1. 常用漢字の通用字体,冨,7級
1753,普,1. 常用漢字の通用字体,,4級
1754,腐,1. 常用漢字の通用字体,,4級
1755,敷,1. 常用漢字の通用字体,,4級
1756,膚,1. 常用漢字の通用字体,,4級
1757,賦,1. 常用漢字の通用字体,,4級
1758,譜,1. 常用漢字の通用字体,,準2級
1759,侮,1. 常用漢字の通用字体,侮,準2級
1760,武,1. 常用漢字の通用字体,,6級
1761,部,1. 常用漢字の通用字体,,8級
1762,舞,1. 常用漢字の通用字体,,4級
1763,封,1. 常用漢字の通用字体,,3級
1764,風,1. 常用漢字の通用字体,,9級
1765,伏,1. 常用漢字の通用字体,,3級
1766,服,1. 常用漢字の通用字体,,8級
1767,副,1. 常用漢字の通用字体,,7級
1768,幅,1. 常用漢字の通用字体,,4級
1769,復,1. 常用漢字の通用字体,,6級
1770,福,1. 常用漢字の通用字体,福,8級
1771,腹,1. 常用漢字の通用字体,,5級
1772,複,1. 常用漢字の通用字体,,6級
1773,覆,1. 常用漢字の通用字体,,3級
1774,払,1. 常用漢字の通用字体,拂,4級
1775,沸,1. 常用漢字の通用字体,,準2級
1776,仏,1. 常用漢字の通用字体,佛,6級
1777,物,1. 常用漢字の通用字体,,8級
1778,粉,1. 常用漢字の通用字体,,6級
1779,紛,1. 常用漢字の通用字体,,3級
1780,雰,1. 常用漢字の通用字体,,準2級
1781,噴,1. 常用漢字の通用字体,,4級
1782,墳,1. 常用漢字の通用字体,,3級
1783,憤,1. 常用漢字の通用字体,,準2級
1784,奮,1. 常用漢字の通用字体,,5級
1785,分,1. 常用漢字の通用字体,,9級
1786,文,1. 常用漢字の通用字体,,10級
1787,聞,1. 常用漢字の通用字体,,9級
