漢字,JIS面区点コード,ユニコード,JIS水準
砧,1-21-46,U+7827,1
杵,1-21-47,U+6775,1
黍,1-21-48,U+9ECD,1
却,1-21-49,U+5374,1
客,1-21-50,U+5BA2,1
脚,1-21-51,U+811A,1
虐,1-21-52,U+8650,1
逆,1-21-53,U+9006,1
丘,1-21-54,U+4E18,1
久,1-21-55,U+4E45,1
仇,1-21-56,U+4EC7,1
休,1-21-57,U+4F11,1
及,1-21-58,U+53CA,1
吸,1-21-59,U+5438,1
宮,1-21-60,U+5BAE,1
弓,1-21-61,U+5F13,1
急,1-21-62,U+6025,1
救,1-21-63,U+6551,1
朽,1-21-64,U+673D,1
求,1-21-65,U+6C42,1
汲,1-21-66,U+6C72,1
泣,1-21-67,U+6CE3,1
灸,1-21-68,U+7078,1
球,1-21-69,U+7403,1
究,1-21-70,U+7A76,1
窮,1-21-71,U+7AAE,1
笈,1-21-72,U+7B08,1
級,1-21-73,U+7D1A,1
糾,1-21-74,U+7CFE,1
給,1-21-75,U+7D66,1
旧,1-21-76,U+65E7,1
牛,1-21-77,U+725B,1
去,1-21-78,U+53BB,1
居,1-21-79,U+5C45,1
巨,1-21-80,U+5DE8,1
拒,1-21-81,U+62D2,1
拠,1-21-82,U+62E0,1
挙,1-21-83,U+6319,1
渠,1-21-84,U+6E20,1
虚,1-21-85,U+865A,1
許,1-21-86,U+8A31,1
距,1-21-87,U+8DDD,1
鋸,1-21-88,U+92F8,1
漁,1-21-89,U+6F01,1
禦,1-21-90,U+79A6,1
魚,1-21-91,U+9B5A,1
亨,1-21-92,U+4EA8,1
享,1-21-93,U+4EAB,1
京,1-21-94,U+4EAC,1
供,1-22-01,U+4F9B,1
侠,1-22-02,U+4FA0,1
僑,1-22-03,U+50D1,1
兇,1-22-04,U+5147,1
競,1-22-05,U+7AF6,1
共,1-22-06,U+5171,1
凶,1-22-07,U+51F6,1
協,1-22-08,U+5354,1
匡,1-22-09,U+5321,1
卿,1-22-10,U+537F,1
叫,1-22-11,U+53EB,1
喬,1-22-12,U+55AC,1
境,1-22-13,U+5883,1
峡,1-22-14,U+5CE1,1
強,1-22-15,U+5F37,1
彊,1-22-16,U+5F4A,1
怯,1-22-17,U+602F,1
恐,1-22-18,U+6050,1
恭,1-22-19,U+606D,1
挟,1-22-20,U+631F,1
教,1-22-21,U+6559,1
橋,1-22-22,U+6A4B,1
況,1-22-23,U+6CC1,1
狂,1-22-24,U+72C2,1
狭,1-22-25,U+72ED,1
矯,1-22-26,U+77EF,1
胸,1-22-27,U+80F8,1
脅,1-22-28,U+8105,1
興,1-22-29,U+8208,1
蕎,1-22-30,U+854E,1
郷,1-22-31,U+90F7,1
鏡,1-22-32,U+93E1,1
響,1-22-33,U+97FF,1
饗,1-22-34,U+9957,1
驚,1-22-35,U+9A5A,1
仰,1-22-36,U+4EF0,1
凝,1-22-37,U+51DD,1
尭,1-22-38,U+5C2D,1
暁,1-22-39,U+6681,1
業,1-22-40,U+696D,1
局,1-22-41,U+5C40,1
曲,1-22-42,U+66F2,1
極,1-22-43,U+6975,1
玉,1-22-44,U+7389,1
桐,1-22-45,U+6850,1
粁,1-22-46,U+7C81,1
僅,1-22-47,U+50C5,1
勤,1-22-48,U+52E4,1
均,1-22-49,U+5747,1
巾,1-22-50,U+5DFE,1
錦,1-22-51,U+9326,1
斤,1-22-52,U+65A4,1
欣,1-22-53,U+6B23,1
欽,1-22-54,U+6B3D,1
琴,1-22-55,U+7434,1
禁,1-22-56,U+7981,1
禽,1-22-57,U+79BD,1
筋,1-22-58,U+7B4B,1
緊,1-22-59,U+7DCA,1
芹,1-22-60,U+82B9,1
菌,1-22-61,U+83CC,1
衿,1-22-62,U+887F,1
襟,1-22-63,U+895F,1
謹,1-22-64,U+8B39,1
近,1-22-65,U+8FD1,1
金,1-22-66,U+91D1,1
吟,1-22-67,U+541F,1
銀,1-22-68,U+9280,1
九,1-22-69,U+4E5D,1
倶,1-22-70,U+5036,1
句,1-22-71,U+53E5,1
区,1-22-72,U+533A,1
狗,1-22-73,U+72D7,1
玖,1-22-74,U+7396,1
矩,1-22-75,U+77E9,1
苦,1-22-76,U+82E6,1
躯,1-22-77,U+8EAF,1
駆,1-22-78,U+99C6,1
駈,1-22-79,U+99C8,1
