ID,漢字,,,,
918,逑,求,辶,,
919,逕,巠,辶,,
920,逞,呈,辶,,
921,逧,谷,辶,,
922,逡,夋,辶,,
923,逖,狄,辶,,
924,逋,甫,辶,,
925,逍,肖の旧字,辶,,
926,逎,酉,辶,,
927,竟,竟,,,
928,竡,立,百,,
929,盒,合,皿,,
930,衒,行,玄,,
931,翊,立,羽の旧字,,
932,窕,穴,兆,,
933,舂,舂,,,
934,谺,谷,牙,,
935,寃,宀,兔,,
936,厠,厂,則,,
937,勖,冒,力,,
938,屛,尸,幷,,
939,晣,日,折,,
940,悤,悤,,,
941,埳,土,臽,,
942,躮,身,分,,
943,萁,艹,其,,
944,悾,忄,空,,
945,梻,木,佛,,
946,梲,木,兌,,
947,𣶏,氵,疌,,
948,棊,其,木,,
949,筍,⺮,旬,,
950,傀,亻,鬼,,
951,傚,亻,效,,
952,傅,亻,尃,,
953,剴,豈,刂,,
954,厥,厂,欮,,
955,啣,口,卸,,
956,喙,口,彖,,
957,喀,口,客,,
958,喊,口,咸,,
959,喟,口,胃,,
960,啻,帝,口,,
961,啾,口,秋,,
962,喘,口,耑,,
963,喞,口,喞のつくり,,
964,啼,口,帝,,
965,喃,口,南,,
966,喇,口,剌,,
967,喨,口,亮,,
968,堙,土,覀土,,
969,堝,土,咼,,
970,堡,保,土,,
971,奠,酋,大,,
972,奢,大,者,,
973,媚,女,眉,,
974,嫂,女,叟,,
975,孳,兹,子,,
976,寔,宀,是,,
977,寐,宀,寐の下,,
978,屠,尸,者,,
979,孱,尸,孨,,
980,嵌,山,甘欠,,
981,嵒,品,山,,
982,嵎,山,禺,,
983,嵋,山,眉,,
984,幄,巾,屋,,
985,幀,巾,貞,,
986,幇,封,巾,,
987,廁,广,則,,
988,廂,广,相,,
989,弑,メ木,式,,
990,彭,壴,彡,,
991,徨,彳,皇,,
992,愕,忄,咢,,
993,惶,忄,皇,,
994,愀,忄,秋,,
995,惴,忄,耑,,
996,惺,忄,星,,
997,愃,忄,宣,,
998,惻,忄,則,,
999,愎,忄,复,,
1000,戞,頁っぽいの,戈,,
1001,掣,制,手,,
1002,掾,扌,彖,,
1003,揩,扌,皆,,
1004,揀,扌,柬,,
1005,揆,扌,癸,,
1006,揣,扌,耑,,
1007,揉,扌,柔,,
1008,揶,扌,耶,,
1009,揄,扌,兪,,
1010,敞,尚,攵,,
1011,敝,㡀,攵,,
1012,黹,黹,,,
1013,毯,炎,毛,,
1014,毳,毛,毛,毛,
1015,朞,其,月,,
1016,晰,日,析,,
1017,閔,門,文,,
1018,蛞,虫,舌,,
1019,蛬,共,虫,,
1020,蛩,工凡,虫,,
1021,蛯,虫,老,,
1022,蛔,虫,回,,
1023,蛟,虫,交,,
1024,棘,朿,朿,,
1025,椏,木,亞,,
1026,椁,木,享,,
1027,棗,朿,朿,,
1028,棠,龸,呆,,
1029,椈,木,匊,,
1030,椄,木,妾,,
1031,棕,木,宗,,
1032,椒,木,叔,,
1033,椚,木,門,,
1034,棍,木,昆,,
1035,棹,木,卓,,
1036,棣,木,隶,,
1037,腋,月,夜,,
1038,脾,月,卑,,
1039,腓,月,非,,
1040,腆,月,典,,
1041,腑,月,府,,
1042,跏,足,加,,
1043,跖,足,石,,
1044,跌,足,失,,
1045,跚,足,冊,,
1046,跛,足,皮,,
1047,跋,足,犮,,
1048,颪,下,風,,
1049,渙,氵,奐,,
1050,渣,氵,査,,
1051,湲,氵,爰,,
1052,渭,氵,胃,,
1053,湮,氵,覀土,,
1054,湫,氵,秋,,
1055,渾,氵,軍,,
1056,湍,氵,耑,,
1057,渺,氵,眇,,
1058,渫,氵,枼,,
1059,游,氵,斿,,
1060,溂,氵,剌,,
1061,渟,氵,亭,,
1062,湎,氵,面,,
1063,渝,氵,兪,,
1064,湃,氵,拜,,
1065,軻,車,可,,
1066,軫,車,㐱,,
1067,軼,車,失,,
1068,馮,冫,馬,,
1069,馭,馬,又,,
1070,筌,⺮,全,,
1071,筅,⺮,先,,
1072,筐,⺮,匡,,
1073,筝,⺮,争,,
1074,赧,赤,㞋,,
1075,欹,奇,欠,,
1076,琥,王,虎,,
1077,琲,王,非,,
1078,琺,王,法,,
1079,釿,金,斤,,
1080,鈞,金,匀,,
1081,鈕,金,丑,,
1082,鈑,金,反,,
1083,鈔,金,少,,
1084,絖,糸,光,,
1085,絎,糸,行,,
1086,絣,糸,并,,
1087,絨,糸,戎,,
1088,絏,糸,曳,,
1089,絮,如,糸,,
1090,犂,犂の上,牛,,
1091,犇,牛,牛,牛,
1092,酣,酉,甘,,
1093,酥,酉,禾,,
1094,聒,耳,舌,,
1095,牋,片,戔,,
1096,焜,火,昆,,
1097,焙,火,咅,,
1098,詛,言,且,,
1099,詈,罒,言,,
1100,訶,言,可,,
1101,詁,言,古,,
1102,詆,言,氐,,
1103,詒,言,台,,
1104,瓠,夸,瓜,,
1105,裙,衤,君,,
1106,覃,襾,早,,
1107,靫,革,叉,,
1108,猴,犭,侯,,
1109,猩,犭,星,,
1110,猯,犭,耑,,
1111,猥,犭,畏,,
1112,睇,目,弟,,
1113,隋,阝,左月,,
1114,隍,阝,皇,,
